csúcsid;alcsúcsid;kapcsolat
m508;-1;m508,m714,m1010,m1028,m2002,m78,m83,m265,m1012,m1016,m1018,m1021,m1022,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m1060,m1063,m1064,m1068,m317,m1014,m1023,m1038,m1047,m1050,m1054,m1033,m1049,m1066,m1015,m320,
m508;0;m508,m714,m1010,m1028,m2002,m78,m83,m265,m1012,m1016,m1018,m1021,m1022,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m1060,m1063,m1064,m1068,m317,m1014,m1023,m1038,m1047,m1050,m1054,m1033,m1049,m1066,m1015,m320,
m509;-1;m509,m714,
m509;0;m509,m714,
m510;-1;m510,m714,m1024,m2002,m78,m81,m265,m1008,m1016,m1018,m1048,m317,m79,m80,m1015,m1012,m1021,m1022,m1037,m1033,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,
m510;0;m510,m714,m1024,m2002,m78,m81,m265,m1008,m1016,m1018,m1048,m317,m79,m80,m1015,m1012,m1021,m1022,m1037,m1033,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,
m514;-1;m514,m714,
m514;0;m514,m714,
m530;-1;m530,m714,m2002,
m530;0;m530,m714,m2002,
m531;-1;m531,m714,
m531;0;m531,m714,
m533;-1;m533,m714,
m533;0;m533,m714,
m546;-1;m25,m546,m714,m1032,
m546;0;m25,m546,m714,m1032,
m548;-1;m548,m714,m1026,m1008,m1048,m1012,m1021,m1022,m1037,m1049,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m320,m1033,m1015,
m548;0;m548,m714,m1026,m1008,m1048,m1012,m1021,m1022,m1037,m1049,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m320,m1033,m1015,
m549;0;
m549;1;
m549;2;
m550;0;m569,
m550;1;m569,
m550;2;m569,
m551;0;m569,
m551;1;m569,
m551;2;m569,
m552;0;m569,
m552;1;m569,
m552;2;m569,
m553;0;m569,
m553;1;m569,
m553;2;m569,
m554;0;m569,
m554;1;m569,
m554;2;m569,
m555;0;m569,
m555;1;m569,
m555;2;m569,
m556;0;
m556;1;
m556;2;
m558;0;
m558;1;
m558;2;
m560;0;
m560;1;
m560;2;
m562;0;
m562;1;
m562;2;
m563;0;
m563;1;
m564;0;
m564;1;
m564;2;
m564;3;
m564;4;
m565;0;
m565;1;
m566;0;
m566;1;
m567;0;
m567;1;
m568;0;
m568;1;
m569;-1;
m569;0;
m569;1;
m601;0;m681,m682,m688,m683,
m601;1;m681,m682,m688,m683,
m601;2;m681,m682,m688,m683,
m601;3;m681,m682,m688,m683,
m601;4;m681,m682,m688,m683,
m602;0;m681,m682,m688,m683,
m602;1;m681,m682,m688,m683,
m602;2;m681,m682,m688,m683,
m602;3;m681,m682,m688,m683,
m602;4;m681,m682,m688,m683,
m603;0;m681,m682,m688,m683,
m603;1;m681,m682,m688,m683,
m603;2;m681,m682,m688,m683,
m603;3;m681,m682,m688,m683,
m603;4;m681,m682,m688,m683,
m604;0;m681,m682,m688,m683,
m604;1;m681,m682,m688,m683,
m604;2;m681,m682,m688,m683,
m604;3;m681,m682,m688,m683,
m604;4;m681,m682,m688,m683,
m605;0;m681,m682,m688,m683,
m605;1;m681,m682,m688,m683,
m605;2;m681,m682,m688,m683,
m605;3;m681,m682,m688,m683,
m605;4;m681,m682,m688,m683,
m606;0;m681,m682,m688,m683,
m606;1;m681,m682,m688,m683,
m606;2;m681,m682,m688,m683,
m606;3;m681,m682,m688,m683,
m606;4;m681,m682,m688,m683,
m607;0;m681,m682,m688,m683,
m607;1;m681,m682,m688,m683,
m607;2;m681,m682,m688,m683,
m607;3;m681,m682,m688,m683,
m607;4;m681,m682,m688,m683,
m608;0;m681,m682,m688,m683,
m608;1;m681,m682,m688,m683,
m608;2;m681,m682,m688,m683,
m608;3;m681,m682,m688,m683,
m608;4;m681,m682,m688,m683,
m609;0;m681,m682,m688,m683,
m609;1;m681,m682,m688,m683,
m609;2;m681,m682,m688,m683,
m609;3;m681,m682,m688,m683,
m609;4;m681,m682,m688,m683,
m610;0;m686,m687,
m610;1;m686,m687,
m610;2;m686,m687,
m610;3;m686,m687,
m610;4;m686,m687,
m610;5;m686,m687,
m611;0;
m612;0;
m612;1;
m612;2;
m612;3;
m612;4;
m612;5;
m613;0;
m613;1;
m613;2;
m614;0;
m614;1;
m614;2;
m614;3;
m614;4;
m615;0;
m615;1;
m615;2;
m615;3;
m615;4;
m616;0;
m616;1;
m616;2;
m617;0;
m617;1;
m617;2;
m618;0;
m618;1;
m618;2;
m619;0;
m619;1;
m619;2;
m620;0;
m620;1;
m620;2;
m621;0;
m621;1;
m621;2;
m622;0;
m622;1;
m622;2;
m623;0;
m623;1;
m623;2;
m624;0;
m624;1;
m624;2;
m625;0;
m625;1;
m625;2;
m626;0;
m626;1;
m626;2;
m627;0;
m627;1;
m627;2;
m628;0;
m628;1;
m628;2;
m629;0;
m629;1;
m629;2;
m630;0;
m630;1;
m630;2;
m631;0;
m631;1;
m631;2;
m632;0;
m632;1;
m632;2;
m633;0;
m633;1;
m633;2;
m634;0;
m634;1;
m634;2;
m635;0;
m635;1;
m635;2;
m636;0;
m636;1;
m636;2;
m637;0;
m637;1;
m637;2;
m638;0;
m638;1;
m638;2;
m639;0;
m639;1;
m639;2;
m640;0;
m640;1;
m640;2;
m641;0;
m641;1;
m641;2;
m642;0;
m642;1;
m642;2;
m643;0;
m643;1;
m643;2;
m644;0;
m644;1;
m644;2;
m645;0;
m645;1;
m645;2;
m646;0;
m646;1;
m646;2;
m647;0;
m647;1;
m647;2;
m648;0;
m648;1;
m648;2;
m649;0;
m649;1;
m649;2;
m650;0;
m650;1;
m650;2;
m659;0;
m659;1;
m659;2;
m659;3;
m659;4;
m660;0;
m660;1;
m660;2;
m660;3;
m661;0;
m661;1;
m661;2;
m661;3;
m662;0;
m662;1;
m662;2;
m662;3;
m663;0;
m663;1;
m663;2;
m663;3;
m664;0;
m664;1;
m664;2;
m664;3;
m665;0;
m665;1;
m665;2;
m665;3;
m665;4;
m665;5;
m666;0;
m666;1;
m666;2;
m666;3;
m666;4;
m666;5;
m667;0;
m667;1;
m667;2;
m667;3;
m667;4;
m667;5;
m668;0;
m668;1;
m668;2;
m669;0;
m669;1;
m669;2;
m669;3;
m669;4;
m670;0;
m670;1;
m670;2;
m671;0;
m672;0;
m672;1;
m672;2;
m672;3;
m672;4;
m673;0;
m673;1;
m673;2;
m674;0;
m674;1;
m674;2;
m674;3;
m674;4;
m679;0;
m679;1;
m679;2;
m679;3;
m679;4;
m679;5;
m680;0;
m680;1;
m680;2;
m680;3;
m680;4;
m680;5;
m681;-1;m682,m688,m683,
m681;0;m682,m688,m683,
m682;-1;m683,
m682;0;m683,
m683;0;
m683;1;
m683;2;
m683;3;
m683;4;
m684;0;
m684;1;
m684;2;
m685;0;
m685;1;
m685;2;
m686;0;
m686;1;
m687;0;
m687;1;
m687;2;
m687;3;
m688;0;
m688;1;
m688;2;
m688;3;
m688;4;
m689;0;
m690;-1000;m693,
m690;0;m693,
m691;-1000;m694,
m691;0;m694,
m692;0;
m692;1;
m692;2;
m693;-1000;
m693;0;
m694;-1000;
m694;0;
m709;0;
m709;1;
m709;2;
m710;0;
m710;1;
m710;2;
m711;0;
m711;1;
m711;2;
m714;0;
m714;1;
m718;-1;
m718;0;
m718;1;
m718;2;
m719;-1;
m719;0;
m719;1;
m719;2;
m719;3;
m719;4;
m719;5;
m719;6;
m719;7;
m719;8;
m719;9;
m719;10;
m723;1;
m723;2;
m724;-1;m739,m740,
m724;0;m739,m740,
m724;1;m739,m740,
m724;2;m739,m740,
m724;3;m739,m740,
m725;-1;m739,m740,
m725;0;m739,m740,
m725;1;m739,m740,
m725;2;m739,m740,
m725;3;m739,m740,
m726;-1;m739,m740,
m726;0;m739,m740,
m726;1;m739,m740,
m726;2;m739,m740,
m726;3;m739,m740,
m727;-1;m739,m740,
m727;0;m739,m740,
m727;1;m739,m740,
m727;2;m739,m740,
m727;3;m739,m740,
m728;0;m741,m742,
m729;0;m741,m742,
m730;0;m741,m742,
m731;0;m736,m738,
m732;0;m736,m738,
m733;0;m736,m738,
m734;-1;m736,m738,
m734;0;m736,m738,
m734;1;m736,m738,
m735;0;m736,m738,
m736;0;m738,
m736;1;m738,
m736;2;m738,
m736;3;m738,
m738;-1;
m738;0;
m738;1;
m738;2;
m739;0;m740,
m740;0;
m740;1;
m740;2;
m741;0;m742,
m742;0;
m742;1;
m742;2;
m743;0;
m743;1;
m743;2;
m745;0;
m745;1;
m745;2;
m747;0;
m747;1;
m747;2;
m749;0;
m749;1;
m749;2;
m750;-1;m758,m759,
m750;0;m758,m759,
m750;1;m758,m759,
m750;2;m758,m759,
m750;3;m758,m759,
m750;4;m758,m759,
m750;5;m758,m759,
m751;-1;m758,m759,
m751;0;m758,m759,
m751;1;m758,m759,
m751;2;m758,m759,
m751;3;m758,m759,
m751;4;m758,m759,
m751;5;m758,m759,
